ItemCode,ItemName,ForeignName,ItemsGroupCode,CustomsGroupCode,SalesVATGroup,BarCode,VatLiable,PurchaseItem,SalesItem,InventoryItem,IncomeAccount,ExemptIncomeAccount,ExpanseAccount,Mainsupplier,SupplierCatalogNo,DesiredInventory,MinInventory,Picture,User_Text,SerialNum,CommissionPercent,CommissionSum,CommissionGroup,TreeType,AssetItem,DataExportCode,Manufacturer,ManageSerialNumbers,ManageBatchNumbers,Valid,ValidFrom,ValidTo,ValidRemarks,Frozen,FrozenFrom,FrozenTo,FrozenRemarks,SalesUnit,SalesItemsPerUnit,SalesPackagingUnit,SalesQtyPerPackUnit,SalesUnitLength,SalesLengthUnit,SalesUnitWidth,SalesWidthUnit,SalesUnitHeight,SalesHeightUnit,SalesUnitVolume,SalesVolumeUnit,SalesUnitWeight,SalesWeightUnit,PurchaseUnit,PurchaseItemsPerUnit,PurchasePackagingUnit,PurchaseQtyPerPackUnit,PurchaseUnitLength,PurchaseLengthUnit,PurchaseUnitWidth,PurchaseWidthUnit,PurchaseUnitHeight,PurchaseHeightUnit,PurchaseUnitVolume,PurchaseVolumeUnit,PurchaseUnitWeight,PurchaseWeightUnit,PurchaseVATGroup,SalesFactor1,SalesFactor2,SalesFactor3,SalesFactor4,PurchaseFactor1,PurchaseFactor2,PurchaseFactor3,PurchaseFactor4,ForeignRevenuesAccount,ECRevenuesAccount,ForeignExpensesAccount,ECExpensesAccount,AvgStdPrice,DefaultWarehouse,ShipType,GLMethod,TaxType,MaxInventory,ManageStockByWarehouse,PurchaseHeightUnit1,PurchaseUnitHeight1,PurchaseLengthUnit1,PurchaseUnitLength1,PurchaseWeightUnit1,PurchaseUnitWeight1,PurchaseWidthUnit1,PurchaseUnitWidth1,SalesHeightUnit1,SalesUnitHeight1,SalesLengthUnit1,SalesUnitLength1,SalesWeightUnit1,SalesUnitWeight1,SalesWidthUnit1,SalesUnitWidth1,ForceSelectionOfSerialNumber,ManageSerialNumbersOnReleaseOnly,WTLiable,CostAccountingMethod,SWW,WarrantyTemplate,IndirectTax,ArTaxCode,ApTaxCode,BaseUnitName,ItemCountryOrg,IssueMethod,SRIAndBatchManageMethod,IsPhantom,InventoryUOM,PlanningSystem,ProcurementMethod,OrderIntervals,OrderMultiple,LeadTime,MinOrderQuantity,ItemType,ItemClass,OutgoingServiceCode,IncomingServiceCode,ServiceGroup,NCMCode,MaterialType,MaterialGroup,ProductSource,Properties1,Properties2,Properties3,Properties4,Properties5,Properties6,Properties7,Properties8,Properties9,Properties10,Properties11,Properties12,Properties13,Properties14,Properties15,Properties16,Properties17,Properties18,Properties19,Properties20,Properties21,Properties22,Properties23,Properties24,Properties25,Properties26,Properties27,Properties28,Properties29,Properties30,Properties31,Properties32,Properties33,Properties34,Properties35,Properties36,Properties37,Properties38,Properties39,Properties40,Properties41,Properties42,Properties43,Properties44,Properties45,Properties46,Properties47,Properties48,Properties49,Properties50,Properties51,Properties52,Properties53,Properties54,Properties55,Properties56,Properties57,Properties58,Properties59,Properties60,Properties61,Properties62,Properties63,Properties64,AutoCreateSerialNumbersOnRelease,DNFEntry,GTSItemSpec,GTSItemTaxCategory,FuelID,BeverageTableCode,BeverageGroupCode,BeverageCommercialBrandCode,Series,ToleranceDays,TypeOfAdvancedRules,IssuePrimarilyBy,NoDiscounts,AssetClass,AssetGroup,InventoryNumber,Technician,Employee,Location,CapitalizationDate,StatisticalAsset,Cession,DeactivateAfterUsefulLife,UoMGroupEntry,InventoryUoMEntry,DefaultSalesUoMEntry,DefaultPurchasingUoMEntry,DepreciationGroup,AssetSerialNumber
ItemCode,ItemName,FrgnName,ItmsGrpCod,CstGrpCode,VatGourpSa,CodeBars,VATLiable,PrchseItem,SellItem,InvntItem,IncomeAcct,ExmptIncom,ExpensAcct,CardCode,SuppCatNum,ReorderQty,MinLevel,PicturName,UserText,SerialNum,CommisPcnt,CommisSum,CommisGrp,TreeType,AssetItem,ExportCode,FirmCode,ManSerNum,ManBtchNum,validFor,validFrom,validTo,ValidComm,frozenFor,frozenFrom,frozenTo,FrozenComm,SalUnitMsr,NumInSale,SalPackMsr,SalPackUn,SLength1,SLen1Unit,SWidth1,SWdth1Unit,SHeight1,SHght1Unit,SVolume,SVolUnit,SWeight1,SWght1Unit,BuyUnitMsr,NumInBuy,PurPackMsr,PurPackUn,BLength1,BLen1Unit,BWidth1,BWdth1Unit,BHeight1,BHght1Unit,BVolume,BVolUnit,BWeight1,BWght1Unit,VatGroupPu,SalFactor1,SalFactor2,SalFactor3,SalFactor4,PurFactor1,PurFactor2,PurFactor3,PurFactor4,FrgnInAcct,ECInAcct,FrgnExpAcc,ECExpAcc,AvgPrice,DfltWH,ShipType,GLMethod,TaxType,MaxLevel,ByWh,BHght2Unit,BHeight2,BLen2Unit,Blength2,BWght2Unit,BWeight2,BWdth2Unit,BWidth2,SHght2Unit,SHeight2,SLen2Unit,Slength2,SWght2Unit,SWeight2,SWdth2Unit,SWidth2,BlockOut,ManOutOnly,WTLiable,EvalSystem,SWW,WarrntTmpl,IndirctTax,TaxCodeAR,TaxCodeAP,BaseUnit,CountryOrg,IssueMthd,MngMethod,Phantom,InvntryUom,PlaningSys,PrcrmntMtd,OrdrIntrvl,OrdrMulti,LeadTime,MinOrdrQty,ItemType,ItemClass,OSvcCode,ISvcCode,ServiceGrp,NCMCode,MatType,MatGrp,ProductSrc,QryGroup1,QryGroup2,QryGroup3,QryGroup4,QryGroup5,QryGroup6,QryGroup7,QryGroup8,QryGroup9,QryGroup10,QryGroup11,QryGroup12,QryGroup13,QryGroup14,QryGroup15,QryGroup16,QryGroup17,QryGroup18,QryGroup19,QryGroup20,QryGroup21,QryGroup22,QryGroup23,QryGroup24,QryGroup25,QryGroup26,QryGroup27,QryGroup28,QryGroup29,QryGroup30,QryGroup31,QryGroup32,QryGroup33,QryGroup34,QryGroup35,QryGroup36,QryGroup37,QryGroup38,QryGroup39,QryGroup40,QryGroup41,QryGroup42,QryGroup43,QryGroup44,QryGroup45,QryGroup46,QryGroup47,QryGroup48,QryGroup49,QryGroup50,QryGroup51,QryGroup52,QryGroup53,QryGroup54,QryGroup55,QryGroup56,QryGroup57,QryGroup58,QryGroup59,QryGroup60,QryGroup61,QryGroup62,QryGroup63,QryGroup64,ManOutOnly,DNFEntry,Spec,TaxCtg,FuelCode,BeverTblC,BeverGrpC,BeverTM,Series,ToleranDay,GLPickMeth,IssuePriBy,NoDiscount,AssetClass,AssetGroup,InventryNo,Technician,Employee,Location,CapitalizationDate,StatisticalAsset,Cession,DeactivateAfterUsefulLife,UoMGroupEntry,InventoryUoMEntry,DefaultSalesUoMEntry,DefaultPurchasingUoMEntry,DepreciationGroup,AssetSerialNumber
AA0011756514T010,AA0011756514T010,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011855514H007,AA0011855514H007,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856015H008,AA0011856015H008,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856015T003,AA0011856015T003,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856015V001,AA0011856015V001,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856514H008,AA0011856514H008,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856515H007,AA0011856515H007,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0011856515T002,AA0011856515T002,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
